Order ID,User Email,User Mobile,User Name,Total,Payment Mode
O8628,ramya@yahoo.com,9876543210,Ramya,30.0,Net Banking
O9398,ramya@yahoo.com,9876543210,Ramya,500.0,Net Banking
O7156,ramya@yahoo.com,9876543210,Ramya,80000.0,UPI
O6015,ramya@yahoo.com,9876543210,Ramya,160010.0,UPI
O4092,harish@gmail.com,9486816168,Harish,80500.0,UPI
O4934,ramya@yahoo.com,9876543210,Ramya,1300.0,Net Banking
O2582,ramya@yahoo.com,9876543210,Ramya,700.0,UPI
O1054,ramya@yahoo.com,9876543210,Ramya,600.0,UPI
O7500,ramya@yahoo.com,9876543210,Ramya,1100.0,UPI
O7286,ramya@yahoo.com,9876543210,Ramya,1000.0,Net Banking
O3297,john@yahoo.com,7878898912,John,8600.0,Net Banking
O8758,ramya@yahoo.com,9876543210,Ramya,30.0,UPI
O3494,harish@gmail.com,9486816168,Harish,80000.0,Net Banking
O4721,john@yahoo.com,7878898912,John,400.0,Net Banking
O8182,john@yahoo.com,7878898912,John,700.0,UPI
O4355,harish@gmail.com,9486816168,Harish,80000.0,UPI
O3223,harish@gmail.com,9486816168,Harish,50000.0,Net Banking
O1459,ramya@yahoo.com,9876543210,Ramya,650.0,UPI
